Node,Type
INPP5B,Gene
INPP5D,Gene
INPP5F,Gene
INPPL1,Gene
IP6K3,Gene
IPMK,Gene
IPPK,Gene
ITPKB,Gene
ITPKC,Gene
MINPP1,Gene
MTM1,Gene
MTMR1,Gene
MTMR14,Gene
MTMR3,Gene
MTMR4,Gene
MTMR6,Gene
MTMR8,Gene
NME3,Gene
NME4,Gene
NME7,Gene
NPR1,Gene
NPR2,Gene
NT5C1A,Gene
NT5C1B,Gene
NT5C1B-RDH14,Gene
NT5E,Gene
NUDT16,Gene
OCRL,Gene
PDE10A,Gene
PDE11A,Gene
PDE1A,Gene
PDE1C,Gene
PDE2A,Gene
PDE3A,Gene
PDE4A,Gene
PDE4B,Gene
PDE4D,Gene
PDE5A,Gene
PDE6A,Gene
PDE6B,Gene
PDE6C,Gene
PDE6D,Gene
PDE9A,Gene
PGM2,Gene
PI4KA,Gene
PIK3C2A,Gene
PIK3C2B,Gene
PIK3C2G,Gene
PIK3C3,Gene
PIK3CA,Gene
PIK3CD,Gene
PIKFYVE,Gene
PIP4K2B,Gene
PIP4K2C,Gene
PIP5K1A,Gene
PIP5K1B,Gene
PIP5KL1,Gene
PLCB1,Gene
PLCB2,Gene
PLCB3,Gene
PLCB4,Gene
PLCD1,Gene
PLCE1,Gene
PLCG1,Gene
PLCG2,Gene
PLCH1,Gene
PLCH2,Gene
PLCZ1,Gene
PPAT,Gene
PPIP5K1,Gene
PPIP5K2,Gene
PRPS1,Gene
PRPS1L1,Gene
PRUNE1,Gene
PTEN,Gene
RRM1,Gene
RRM2,Gene
SYNJ1,Gene
SYNJ2,Gene
XDH,Gene
ABCA2,Gene
ABCA8,Gene
ABCC1,Gene
ABCG2,Gene
ACE2,Gene
ACER1,Gene
ACER2,Gene
ACER3,Gene
AGK,Gene
ALOX12B,Gene
ALOXE3,Gene
ASAH1,Gene
B3GALT1,Gene
B3GNT5,Gene
B4GALNT1,Gene
B4GALT3,Gene
B4GALT4,Gene
B4GALT6,Gene
CASP1,Gene
CASP7,Gene
CERK,Gene
CERKL,Gene
CLN8,Gene
CSNK1G2,Gene
CYP4F22,Gene
DEGS1,Gene
DEGS2,Gene
ELOVL2,Gene
ELOVL3,Gene
ELOVL4,Gene
ELOVL5,Gene
ELOVL6,Gene
ELOVL7,Gene
ENPP7,Gene
FA2H,Gene
FUT1,Gene
FUT2,Gene
FUT4,Gene
FUT9,Gene
GAL3ST1,Gene
MECR,Gene
MFSD2B,Gene
ORMDL3,Gene
P2RX1,Gene
P2RX7,Gene
PAQR4,Gene
PEMT,Gene
PNPLA1,Gene
PPM1L,Gene
PRF1,Gene
PRKAA1,Gene
PRKD1,Gene
PRKD2,Gene
SGMS1,Gene
SGMS2,Gene
SIRT3,Gene
SPHK1,Gene
SPHK2,Gene
SPNS2,Gene
SPTLC2,Gene
SPTLC3,Gene
ST3GAL1,Gene
ST3GAL2,Gene
ST3GAL3,Gene
ST3GAL5,Gene
ST6GALNAC3,Gene
ST6GALNAC4,Gene
ST6GALNAC5,Gene
ST6GALNAC6,Gene
ST8SIA1,Gene
ST8SIA2,Gene
ST8SIA3,Gene
ST8SIA4,Gene
ST8SIA5,Gene
ST8SIA6,Gene
UGT8,Gene
ZNF750,Gene
ACTN3,Gene
ADPGK,Gene
ALDOA,Gene
ALDOB,Gene
ALDOC,Gene
ARL2,Gene
ARNT,Gene
BCKDK,Gene
BPGM,Gene
CBFA2T3,Gene
COL6A1,Gene
ENO1,Gene
FBP1,Gene
FKRP,Gene
FLCN,Gene
FOXK1,Gene
FOXK2,Gene
GALK1,Gene
GAPDHS,Gene
GCK,Gene
GIT1,Gene
GPD1,Gene
GPR87,Gene
HDAC4,Gene
HK1,Gene
HK2,Gene
HK3,Gene
HTR2A,Gene
IFNG,Gene
IGF1,Gene
INS,Gene
INSR,Gene
KAT2B,Gene
LDHA,Gene
LDHAL6A,Gene
LDHB,Gene
LDHC,Gene
LIPA,Gene
ME1,Gene
ME3,Gene
MLST8,Gene
MLXIPL,Gene
MTOR,Gene
NCOR1,Gene
NUPR1,Gene
OGDH,Gene
OGDHL,Gene
PCK1,Gene
PCK2,Gene
PDHX,Gene
PDK2,Gene
PDK3,Gene
PDK4,Gene
PDP1,Gene
PFKFB1,Gene
PFKFB2,Gene
PFKFB3,Gene
PFKFB4,Gene
PFKP,Gene
PGAM2,Gene
PGM1,Gene
PKLR,Gene
PRKACA,Gene
PRKAG2,Gene
PRKAG3,Gene
RPTOR,Gene
SDS,Gene
SIRT6,Gene
SLC16A1,Gene
SLC16A3,Gene
SLC4A1,Gene
SLC4A4,Gene
SRC,Gene
STAT3,Gene
TPK1,Gene
TREX1,Gene
TRIM63,Gene
UCHL1,Gene
UCP2,Gene
XPO4,Gene
YAP1,Gene
ZBTB20,Gene
ZBTB7A,Gene
