host_module,Gene,GeneEdgeWeight
Module_20__glycosylation_biosynthetic,CHSY1,1.5073079137047676
Module_20__glycosylation_biosynthetic,CHSY3,1.5073079137047676
Module_20__glycosylation_biosynthetic,CSGALNACT1,1.5073079137047676
Module_20__glycosylation_biosynthetic,CSPG4,1.5073079137047676
Module_20__glycosylation_biosynthetic,CSPG5,1.5073079137047676
Module_20__glycosylation_biosynthetic,DCN,1.5073079137047676
Module_20__glycosylation_biosynthetic,NCAN,1.5073079137047676
Module_20__glycosylation_biosynthetic,UST,1.5073079137047676
Module_20__glycosylation_biosynthetic,VCAN,1.5073079137047676
Module_21__transport_lipid,ABCA1,1.926148295197548
Module_21__transport_lipid,ABCA3,3.0639789082794726
Module_21__transport_lipid,ABCG5,1.926148295197548
Module_21__transport_lipid,ABCG8,1.926148295197548
Module_21__transport_lipid,ABHD12,3.0639789082794726
Module_21__transport_lipid,ABHD12B,3.0639789082794726
Module_21__transport_lipid,ABHD2,3.0639789082794726
Module_21__transport_lipid,ABHD3,3.0639789082794726
Module_21__transport_lipid,ABHD6,3.0639789082794726
Module_21__transport_lipid,ABHD8,3.0639789082794726
Module_21__transport_lipid,ACSL1,3.0639789082794726
Module_21__transport_lipid,AGK,3.0639789082794726
Module_21__transport_lipid,AGPAT1,3.0639789082794726
Module_21__transport_lipid,AGPAT2,3.0639789082794726
Module_21__transport_lipid,AGPAT3,3.0639789082794726
Module_21__transport_lipid,AGPAT4,3.0639789082794726
Module_21__transport_lipid,ALOX15,3.0639789082794726
Module_21__transport_lipid,ANGPTL4,1.926148295197548
Module_21__transport_lipid,APOA1,3.0639789082794726
Module_21__transport_lipid,APOA5,3.0639789082794726
Module_21__transport_lipid,APOB,3.0639789082794726
Module_21__transport_lipid,APOBEC1,3.0639789082794726
Module_21__transport_lipid,APOC1,3.0639789082794726
Module_21__transport_lipid,APOC2,3.0639789082794726
Module_21__transport_lipid,APOC3,3.0639789082794726
Module_21__transport_lipid,APOE,3.0639789082794726
Module_21__transport_lipid,APOF,3.0639789082794726
Module_21__transport_lipid,APOH,3.0639789082794726
Module_21__transport_lipid,ATM,3.0639789082794726
Module_21__transport_lipid,AVIL,3.0639789082794726
Module_21__transport_lipid,BECN1,3.0639789082794726
Module_21__transport_lipid,BLVRA,3.0639789082794726
Module_21__transport_lipid,BMX,3.0639789082794726
Module_21__transport_lipid,C3,3.0639789082794726
Module_21__transport_lipid,CAPN2,3.0639789082794726
Module_21__transport_lipid,CAV1,3.0639789082794726
Module_21__transport_lipid,CAV3,3.0639789082794726
Module_21__transport_lipid,CD36,1.926148295197548
Module_21__transport_lipid,CHAT,3.0639789082794726
Module_21__transport_lipid,CHKA,3.0639789082794726
Module_21__transport_lipid,CHRM5,3.0639789082794726
Module_21__transport_lipid,CIDEB,3.0639789082794726
Module_21__transport_lipid,CIDEC,3.0639789082794726
Module_21__transport_lipid,CPS1,3.0639789082794726
Module_21__transport_lipid,CPT1A,3.0639789082794726
Module_21__transport_lipid,CRLS1,3.0639789082794726
Module_21__transport_lipid,CWH43,3.0639789082794726
Module_21__transport_lipid,CYP27A1,1.926148295197548
Module_21__transport_lipid,DAGLA,3.0639789082794726
Module_21__transport_lipid,DAGLB,3.0639789082794726
Module_21__transport_lipid,DDHD2,3.0639789082794726
Module_21__transport_lipid,DGAT1,3.0639789082794726
Module_21__transport_lipid,DGAT2,3.0639789082794726
Module_21__transport_lipid,DGAT2L6,3.0639789082794726
Module_21__transport_lipid,DGKA,3.0639789082794726
Module_21__transport_lipid,DGKB,3.0639789082794726
Module_21__transport_lipid,DGKD,3.0639789082794726
Module_21__transport_lipid,DGKG,3.0639789082794726
Module_21__transport_lipid,DGKI,3.0639789082794726
Module_21__transport_lipid,DGKK,3.0639789082794726
Module_21__transport_lipid,DGKQ,3.0639789082794726
Module_21__transport_lipid,DGKZ,3.0639789082794726
Module_21__transport_lipid,DPM2,3.0639789082794726
Module_21__transport_lipid,EFR3B,3.0639789082794726
Module_21__transport_lipid,ENPP2,3.0639789082794726
Module_21__transport_lipid,ENPP6,3.0639789082794726
Module_21__transport_lipid,ETNK1,3.0639789082794726
Module_21__transport_lipid,ETNK2,3.0639789082794726
Module_21__transport_lipid,FABP3,3.0639789082794726
Module_21__transport_lipid,FABP5,3.0639789082794726
Module_21__transport_lipid,FBXW7,3.0639789082794726
Module_21__transport_lipid,FIG4,3.0639789082794726
Module_21__transport_lipid,FITM2,3.0639789082794726
Module_21__transport_lipid,FUT1,3.0639789082794726
Module_21__transport_lipid,GAL3ST1,3.0639789082794726
Module_21__transport_lipid,GALR2,3.0639789082794726
Module_21__transport_lipid,GDE1,3.0639789082794726
